AA123 	/	 Los Angeles 	/	08:00	/	 On Time 	/	 No gate
QR1727	/	 Dubai 	/	21:23	/	 On Time 	/	 No gate
EY1828	/	 Istanbul 	/	21:24	/	 On Time 	/	 No gate
KE1929	/	 Rome 	/	21:25	/	 On Time 	/	 No gate
AI2030	/	 Hong Kong 	/	21:26	/	 On Time 	/	 No gate
TG2131	/	 Tokyo 	/	21:27	/	 On Time 	/	 No gate
KL2232	/	 Doha 	/	21:28	/	 On Time 	/	 No gate
UA2333	/	 Abu Dhabi 	/	21:29	/	 On Time 	/	 No gate
DL2434	/	 Seoul 	/	21:30	/	 On Time 	/	 No gate
AA134	/	 Delhi 	/	21:31	/	 On Time 	/	 No gate
UA467	/	 Bangkok 	/	21:32	/	 On Time 	/	 No gate
DL800	/	 Amsterdam 	/	21:33	/	 On Time 	/	 No gate
AC245	/	 Washington DC 	/	21:34	/	 On Time 	/	 No gate
BA578	/	 Miami 	/	21:35	/	 On Time 	/	 No gate
LH901	/	 Montreal 	/	21:36	/	 On Time 	/	 No gate
AF134	/	 Edinburgh 	/	21:37	/	 On Time 	/	 No gate
EK467	/	 Munich 	/	21:38	/	 On Time 	/	 No gate
TK800	/	 Lyon 	/	21:39	/	 On Time 	/	 No gate
AZ245	/	 Abu Dhabi 	/	21:40	/	 On Time 	/	 No gate
CX578	/	 Antalya 	/	21:41	/	 On Time 	/	 No gate
JL901	/	 Milan 	/	21:42	/	 On Time 	/	 No gate
QR134	/	 Taipei 	/	21:43	/	 On Time 	/	 No gate
EY467	/	 Osaka 	/	21:44	/	 On Time 	/	 No gate
KE800	/	 Dubai 	/	21:45	/	 On Time 	/	 No gate
AI245	/	 Muscat 	/	21:46	/	 On Time 	/	 No gate
TG578	/	 Jeju 	/	21:47	/	 On Time 	/	 No gate
KL901	/	 Mumbai 	/	21:48	/	 On Time 	/	 No gate
UA332	/	 Phuket 	/	21:49	/	 On Time 	/	 No gate
DL665	/	 Copenhagen 	/	21:50	/	 On Time 	/	 No gate
AC998	/	 Houston 	/	21:51	/	 On Time 	/	 No gate
BA443	/	 Las Vegas 	/	21:52	/	 On Time 	/	 No gate
LH776	/	 Vancouver 	/	21:53	/	 On Time 	/	 No gate
AF901	/	 Manchester 	/	21:54	/	 On Time 	/	 No gate
EK332	/	 Hamburg 	/	21:55	/	 On Time 	/	 No gate
TK665	/	 Marseille 	/	21:56	/	 On Time 	/	 No gate
AZ998	/	 Houston 	/	21:57	/	 On Time 	/	 No gate
CX443	/	 Los Angeles 	/	21:58	/	 On Time 	/	 No gate
JL776	/	 New York 	/	21:59	/	 On Time 	/	 No gate
QR901	/	 Toronto 	/	22:00	/	 On Time 	/	 No gate
EY332	/	 London 	/	22:01	/	 On Time 	/	 No gate
KE665	/	 Frankfurt 	/	22:02	/	 On Time 	/	 No gate
AI998	/	 Paris 	/	22:03	/	 On Time 	/	 No gate
TG443	/	 Dubai 	/	22:04	/	 On Time 	/	 No gate
KL776	/	 Istanbul 	/	22:05	/	 On Time 	/	 No gate
UA901	/	 Rome 	/	22:06	/	 On Time 	/	 No gate
DL332	/	 Hong Kong 	/	22:07	/	 On Time 	/	 No gate
AC665	/	 Tokyo 	/	22:08	/	 On Time 	/	 No gate
BA998	/	 Doha 	/	22:09	/	 On Time 	/	 No gate
LH443	/	 Abu Dhabi 	/	22:10	/	 On Time 	/	 No gate
AF776	/	 Seoul 	/	22:11	/	 On Time 	/	 No gate
UA566	/	 Delhi 	/	22:12	/	 On Time 	/	 No gate
AA677	/	 Bangkok 	/	22:13	/	 On Time 	/	 No gate
DL788	/	 Amsterdam 	/	22:14	/	 On Time 	/	 No gate
AC899	/	 Washington DC 	/	22:15	/	 On Time 	/	 No gate
BA1010	/	 Miami 	/	22:16	/	 On Time 	/	 No gate
LH1021	/	 Los Angeles 	/	22:17	/	 On Time 	/	 No gate
AF1122	/	 New York 	/	22:18	/	 On Time 	/	 No gate
EK1223	/	 Chicago 	/	22:19	/	 On Time 	/	 No gate
TK1324	/	 Toronto 	/	22:20	/	 On Time 	/	 No gate
AZ1425	/	 London 	/	22:21	/	 On Time 	/	 No gate
CX1526	/	 Frankfurt 	/	22:22	/	 On Time 	/	 No gate
JL1627	/	 Paris 	/	22:23	/	 On Time 	/	 No gate
QR1728	/	 Dubai 	/	22:24	/	 On Time 	/	 No gate
EY1829	/	 Istanbul 	/	22:25	/	 On Time 	/	 No gate
KE1930	/	 Rome 	/	22:26	/	 On Time 	/	 No gate
AI2031	/	 Hong Kong 	/	22:27	/	 On Time 	/	 No gate
TG2132	/	 Tokyo 	/	22:28	/	 On Time 	/	 No gate
KL2233	/	 Doha 	/	22:29	/	 On Time 	/	 No gate
UA2334	/	 Abu Dhabi 	/	22:30	/	 On Time 	/	 No gate
DL2435	/	 Seoul 	/	22:31	/	 On Time 	/	 No gate
AA135	/	 Delhi 	/	22:32	/	 On Time 	/	 No gate
UA468	/	 Bangkok 	/	22:33	/	 On Time 	/	 No gate
DL801	/	 Amsterdam 	/	22:34	/	 On Time 	/	 No gate
AC246	/	 Washington DC 	/	22:35	/	 On Time 	/	 No gate
BA579	/	 Miami 	/	22:36	/	 On Time 	/	 No gate
LH902	/	 Montreal 	/	22:37	/	 On Time 	/	 No gate
AF135	/	 Edinburgh 	/	22:38	/	 On Time 	/	 No gate
EK468	/	 Munich 	/	22:39	/	 On Time 	/	 No gate
TK801	/	 Lyon 	/	22:40	/	 On Time 	/	 No gate
AZ246	/	 Abu Dhabi 	/	22:41	/	 On Time 	/	 No gate
CX579	/	 Antalya 	/	22:42	/	 On Time 	/	 No gate
JL902	/	 Milan 	/	22:43	/	 On Time 	/	 No gate
QR135	/	 Taipei 	/	22:44	/	 On Time 	/	 No gate
EY468	/	 Osaka 	/	22:45	/	 On Time 	/	 No gate
KE801	/	 Dubai 	/	22:46	/	 On Time 	/	 No gate
AI246	/	 Muscat 	/	22:47	/	 On Time 	/	 No gate
TG579	/	 Jeju 	/	22:48	/	 On Time 	/	 No gate
KL902	/	 Mumbai 	/	22:49	/	 On Time 	/	 No gate
UA333	/	 Phuket 	/	22:50	/	 On Time 	/	 No gate
DL666	/	 Copenhagen 	/	22:51	/	 On Time 	/	 No gate
AC999	/	 Houston 	/	22:52	/	 On Time 	/	 No gate
BA444	/	 Las Vegas 	/	22:53	/	 On Time 	/	 No gate
LH777	/	 Vancouver 	/	22:54	/	 On Time 	/	 No gate
AF902	/	 Manchester 	/	22:55	/	 On Time 	/	 No gate
EK333	/	 Hamburg 	/	22:56	/	 On Time 	/	 No gate
TK666	/	 Marseille 	/	22:57	/	 On Time 	/	 No gate
AZ999	/	 Houston 	/	22:58	/	 On Time 	/	 No gate
CX444	/	 Los Angeles 	/	22:59	/	 On Time 	/	 No gate
JL777	/	 New York 	/	23:00	/	 On Time 	/	 No gate
QR902	/	 Toronto 	/	23:01	/	 On Time 	/	 No gate
EY333	/	 London 	/	23:02	/	 On Time 	/	 No gate
KE666	/	 Frankfurt 	/	23:03	/	 On Time 	/	 No gate
AI999	/	 Paris 	/	23:04	/	 On Time 	/	 No gate
TG444	/	 Dubai 	/	23:05	/	 On Time 	/	 No gate
KL777	/	 Istanbul 	/	23:06	/	 On Time 	/	 No gate
UA902	/	 Rome 	/	23:07	/	 On Time 	/	 No gate
DL333	/	 Hong Kong 	/	23:08	/	 On Time 	/	 No gate
AC666	/	 Tokyo 	/	23:09	/	 On Time 	/	 No gate
BA999	/	 Doha 	/	23:10	/	 On Time 	/	 No gate
LH444	/	 Abu Dhabi 	/	23:11	/	 On Time 	/	 No gate
AF777	/	 Seoul 	/	23:12	/	 On Time 	/	 No gate
UA567	/	 Delhi 	/	23:13	/	 On Time 	/	 No gate
AA678	/	 Bangkok 	/	23:14	/	 On Time 	/	 No gate
DL789	/	 Amsterdam 	/	23:15	/	 On Time 	/	 No gate
AC900	/	 Washington DC 	/	23:16	/	 On Time 	/	 No gate
BA1011	/	 Miami 	/	23:17	/	 On Time 	/	 No gate
LH1022	/	 Los Angeles 	/	23:18	/	 On Time 	/	 No gate
AF1123	/	 New York 	/	23:19	/	 On Time 	/	 No gate
EK1224	/	 Chicago 	/	23:20	/	 On Time 	/	 No gate
TK1325	/	 Toronto 	/	23:21	/	 On Time 	/	 No gate
AI997	/	 London 	/	23:22	/	 On Time 	/	 No gate
TG442	/	 Frankfurt 	/	23:23	/	 On Time 	/	 No gate
KL775	/	 Paris 	/	23:24	/	 On Time 	/	 No gate
UA900	/	 Dubai 	/	23:25	/	 On Time 	/	 No gate
DL331	/	 Istanbul 	/	23:26	/	 On Time 	/	 No gate
AC664	/	 Rome 	/	23:27	/	 On Time 	/	 No gate
BA997	/	 Hong Kong 	/	23:28	/	 On Time 	/	 No gate
LH442	/	 Tokyo 	/	23:29	/	 On Time 	/	 No gate
AF775	/	 Doha 	/	23:30	/	 On Time 	/	 No gate
UA565	/	 Abu Dhabi 	/	23:31	/	 On Time 	/	 No gate
AA676	/	 Seoul 	/	23:32	/	 On Time 	/	 No gate
DL787	/	 Delhi 	/	23:33	/	 On Time 	/	 No gate
AC898	/	 Bangkok 	/	23:34	/	 On Time 	/	 No gate
BA1009	/	 Amsterdam 	/	23:35	/	 On Time 	/	 No gate
LH1020	/	 Washington DC 	/	23:36	/	 On Time 	/	 No gate
AF1121	/	 Miami 	/	23:37	/	 On Time 	/	 No gate
EK1222	/	 Montreal 	/	23:38	/	 On Time 	/	 No gate
TK1323	/	 Edinburgh 	/	23:39	/	 On Time 	/	 No gate
AZ1424	/	 Munich 	/	23:40	/	 On Time 	/	 No gate
CX1525	/	 Lyon 	/	23:41	/	 On Time 	/	 No gate
JL1626	/	 Abu Dhabi 	/	23:42	/	 On Time 	/	 No gate
QR1727	/	 Antalya 	/	23:43	/	 On Time 	/	 No gate
EY1828	/	 Milan 	/	23:44	/	 On Time 	/	 No gate
KE1929	/	 Taipei 	/	23:45	/	 On Time 	/	 No gate
AI2030	/	 Osaka 	/	23:46	/	 On Time 	/	 No gate
TG2131	/	 Dubai 	/	23:47	/	 On Time 	/	 No gate
KL2232	/	 Muscat 	/	23:48	/	 On Time 	/	 No gate
UA2333	/	 Jeju 	/	23:49	/	 On Time 	/	 No gate
DL2434	/	 Mumbai 	/	23:50	/	 On Time 	/	 No gate
AA134	/	 Phuket 	/	23:51	/	 On Time 	/	 No gate
UA467	/	 Copenhagen 	/	23:52	/	 On Time 	/	 No gate
DL800	/	 Houston 	/	23:53	/	 On Time 	/	 No gate
AC245	/	 Las Vegas 	/	23:54	/	 On Time 	/	 No gate
BA578	/	 Vancouver 	/	23:55	/	 On Time 	/	 No gate
LH901	/	 Manchester 	/	23:56	/	 On Time 	/	 No gate
AF134	/	 Hamburg 	/	23:57	/	 On Time 	/	 No gate
EK467	/	 Marseille 	/	23:58	/	 On Time 	/	 No gate
TK800	/	 Houston 	/	23:59	/	 On Time 	/	 No gate
